Year,Sport,Event,Country,Gender,Medal Rank,Medal,Name of Athlete or Team,Age of Athlete
1972,Nordic Combined,Men's Individual,East Germany,Men,3,bronze,Karl-Heinz Luck,27
1972,Ski Jumping,"Men's Normal Hill, Individual",Japan,Men,1,gold,Yukio Kasaya,28
1972,Ski Jumping,"Men's Normal Hill, Individual",Japan,Men,2,silver,Akitsugu Konno,27
1972,Ski Jumping,"Men's Normal Hill, Individual",Japan,Men,3,bronze,Seiji Aochi,29
1972,Ski Jumping,"Men's Large Hill, Individual",Poland,Men,1,gold,Wojciech Fortuna,19
1972,Ski Jumping,"Men's Large Hill, Individual",Switzerland,Men,2,silver,Walter Steiner,20
1972,Ski Jumping,"Men's Large Hill, Individual",East Germany,Men,3,bronze,Rainer Schmidt,23
1972,Speedskating,Men's 500 Meters,West Germany,Men,1,gold,Erhard Keller,27
1972,Speedskating,Men's 500 Meters,Sweden,Men,2,silver,Hasse BÃ¶rjes,24
1972,Speedskating,Men's 500 Meters,Soviet Union,Men,3,bronze,Valery Muratov,25
1972,Speedskating,"Men's 1,500 Meters",Netherlands,Men,1,gold,Ard Schenk,27
1972,Speedskating,"Men's 1,500 Meters",Norway,Men,2,silver,Roar GrÃ¸nvold,25
1972,Speedskating,"Men's 1,500 Meters",Sweden,Men,3,bronze,GÃ¶ran Claeson,26
1972,Speedskating,"Men's 5,000 Meters",Netherlands,Men,1,gold,Ard Schenk,27
1972,Speedskating,"Men's 5,000 Meters",Norway,Men,2,silver,Roar GrÃ¸nvold,25
1972,Speedskating,"Men's 5,000 Meters",Norway,Men,3,bronze,Sten Stensen,24
1972,Speedskating,"Men's 10,000 Meters",Netherlands,Men,1,gold,Ard Schenk,27
1972,Speedskating,"Men's 10,000 Meters",Netherlands,Men,2,silver,Kees Verkerk,29
1972,Speedskating,"Men's 10,000 Meters",Norway,Men,3,bronze,Sten Stensen,24
1972,Speedskating,Women's 500 Meters,United States,Women,1,gold,Anne Henning,16
1972,Speedskating,Women's 500 Meters,Soviet Union,Women,2,silver,Vera Krasnova,21
1972,Speedskating,Women's 500 Meters,Soviet Union,Women,3,bronze,Lyudmila Titova,25
1972,Speedskating,"Women's 1,000 Meters",West Germany,Women,1,gold,Monika Gawenus-Holzner-Pflug,17
1972,Speedskating,"Women's 1,000 Meters",Netherlands,Women,2,silver,Atje Keulen-Deelstra,33
1972,Speedskating,"Women's 1,000 Meters",United States,Women,3,bronze,Anne Henning,16
1972,Speedskating,"Women's 1,500 Meters",United States,Women,1,gold,Dianne Holum,20
1972,Speedskating,"Women's 1,500 Meters",Netherlands,Women,2,silver,Stien Baas-Kaiser,33
1972,Speedskating,"Women's 1,500 Meters",Netherlands,Women,3,bronze,Atje Keulen-Deelstra,33
1972,Speedskating,"Women's 3,000 Meters",Netherlands,Women,1,gold,Stien Baas-Kaiser,33
1972,Speedskating,"Women's 3,000 Meters",United States,Women,2,silver,Dianne Holum,20
1972,Speedskating,"Women's 3,000 Meters",Netherlands,Women,3,bronze,Atje Keulen-Deelstra,33
1976,Alpine Skiing,Men's Downhill,Austria,Men,1,gold,Franz Klammer,22
1976,Alpine Skiing,Men's Downhill,Switzerland,Men,2,silver,Bernhard Russi,27
1976,Alpine Skiing,Men's Downhill,Italy,Men,3,bronze,Herbert Plank,21
1976,Alpine Skiing,Men's Giant Slalom,Switzerland,Men,1,gold,Heini Hemmi,27
1976,Alpine Skiing,Men's Giant Slalom,Switzerland,Men,2,silver,Ernst Good,26
1976,Alpine Skiing,Men's Giant Slalom,Sweden,Men,3,bronze,Ingemar Stenmark,19
1976,Alpine Skiing,Men's Slalom,Italy,Men,1,gold,Piero Gros,21
1976,Alpine Skiing,Men's Slalom,Italy,Men,2,silver,Gustavo Thoeni,24
1976,Alpine Skiing,Men's Slalom,Liechtenstein,Men,3,bronze,Willi Frommelt,23
1976,Alpine Skiing,Women's Downhill,West Germany,Women,1,gold,Rosi Mittermaier,25
1976,Alpine Skiing,Women's Downhill,Austria,Women,2,silver,Brigitte Totschnig,21
1976,Alpine Skiing,Women's Downhill,United States,Women,3,bronze,Cindy Nelson,20
1976,Alpine Skiing,Women's Giant Slalom,Canada,Women,1,gold,Kathy Kreiner,18
1976,Alpine Skiing,Women's Giant Slalom,West Germany,Women,2,silver,Rosi Mittermaier,25
1976,Alpine Skiing,Women's Giant Slalom,France,Women,3,bronze,DaniÃ¨le Debernard,21
1976,Alpine Skiing,Women's Slalom,West Germany,Women,1,gold,Rosi Mittermaier,25
1976,Alpine Skiing,Women's Slalom,Italy,Women,2,silver,Claudia Giordani,20
1976,Alpine Skiing,Women's Slalom,Liechtenstein,Women,3,bronze,Hanni Wenzel,19
1976,Biathlon,Men's 20 Kilometers,Soviet Union,Men,1,gold,Nikolay Kruglov,26
1976,Biathlon,Men's 20 Kilometers,Finland,Men,2,silver,Heikki Ikola,28
1976,Biathlon,Men's 20 Kilometers,Soviet Union,Men,3,bronze,Aleksandr Yelizarov,23
1976,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,Soviet Union,Men,1,gold,Soviet Union,
1976,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,Finland,Men,2,silver,Finland,
1976,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,East Germany,Men,3,bronze,East Germany,
1976,Bobsled,Men's Two,East Germany,Men,1,gold,East Germany-2,
1976,Bobsled,Men's Two,West Germany,Men,2,silver,West Germany-1,
1976,Bobsled,Men's Two,Switzerland,Men,3,bronze,Switzerland-1,
1976,Bobsled,Men's Four,East Germany,Men,1,gold,East Germany-1,
1976,Bobsled,Men's Four,Switzerland,Men,2,silver,Switzerland-2,
1976,Bobsled,Men's Four,West Germany,Men,3,bronze,West Germany-1,
1976,Cross-Country Skiing,Men's 15 Kilometers,Soviet Union,Men,1,gold,Nikolay Bazhukov,22
1976,Cross-Country Skiing,Men's 15 Kilometers,Soviet Union,Men,2,silver,Yevgeny Belyayev,21
1976,Cross-Country Skiing,Men's 15 Kilometers,Finland,Men,3,bronze,Arto Koivisto,28
1976,Cross-Country Skiing,Men's 30 Kilometers,Soviet Union,Men,1,gold,Sergey Savelyev,27
1976,Cross-Country Skiing,Men's 30 Kilometers,United States,Men,2,silver,Bill Koch,20
1976,Cross-Country Skiing,Men's 30 Kilometers,Soviet Union,Men,3,bronze,Ivan Garanin,30
1976,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,1,gold,Ivar Formo,24
1976,Cross-Country Skiing,Men's 50 Kilometers,East Germany,Men,2,silver,Gert-Dietmar Klause,30
1976,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,3,bronze,Benny SÃ¶dergren,27
1976,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Finland,Men,1,gold,Finland,
1976,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Norway,Men,2,silver,Norway,
1976,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Soviet Union,Men,3,bronze,Soviet Union,
1976,Cross-Country Skiing,Women's 5 Kilometers,Finland,Women,1,gold,Helena Kivioja-Takalo,28
1976,Cross-Country Skiing,Women's 5 Kilometers,Soviet Union,Women,2,silver,Raisa Smetanina,23
1976,Cross-Country Skiing,Women's 5 Kilometers,Soviet Union,Women,3,bronze,Nina Fyodorova-Baldycheva,28
1976,Cross-Country Skiing,Women's 10 Kilometers,Soviet Union,Women,1,gold,Raisa Smetanina,23
1976,Cross-Country Skiing,Women's 10 Kilometers,Finland,Women,2,silver,Helena Kivioja-Takalo,28
1976,Cross-Country Skiing,Women's 10 Kilometers,Soviet Union,Women,3,bronze,Galina Kulakova,33
1976,Cross-Country Skiing,Women's 4 Ã— 5-Kilometer Relay,Soviet Union,Women,1,gold,Soviet Union,
1976,Cross-Country Skiing,Women's 4 Ã— 5-Kilometer Relay,Finland,Women,2,silver,Finland,
1976,Cross-Country Skiing,Women's 4 Ã— 5-Kilometer Relay,East Germany,Women,3,bronze,East Germany,
1976,Figure Skating,Men's Singles,Britain,Men,1,gold,John Curry,26
1976,Figure Skating,Men's Singles,Soviet Union,Men,2,silver,Vladimir Kovalyov,23
1976,Figure Skating,Men's Singles,Canada,Men,3,bronze,Toller Cranston,26
1976,Figure Skating,Mixed Pairs,Soviet Union,Mixed,1,gold,Soviet Union-1,
1976,Figure Skating,Mixed Pairs,East Germany,Mixed,2,silver,East Germany-1,
1976,Figure Skating,Mixed Pairs,East Germany,Mixed,3,bronze,East Germany-2,
1976,Figure Skating,Mixed Ice Dancing,Soviet Union,Mixed,1,gold,Soviet Union-1,
1976,Figure Skating,Mixed Ice Dancing,Soviet Union,Mixed,2,silver,Soviet Union-2,
1976,Figure Skating,Mixed Ice Dancing,United States,Mixed,3,bronze,United States-1,
1976,Figure Skating,Women's Singles,United States,Women,1,gold,Dorothy Hamill,19
1976,Figure Skating,Women's Singles,Netherlands,Women,2,silver,Dianne de Leeuw,20
1976,Figure Skating,Women's Singles,East Germany,Women,3,bronze,Christine Errath,19
1976,Ice Hockey,Men's Ice Hockey,Soviet Union,Men,1,gold,Soviet Union,
1976,Ice Hockey,Men's Ice Hockey,Czechoslovakia,Men,2,silver,Czechoslovakia,
1976,Ice Hockey,Men's Ice Hockey,West Germany,Men,3,bronze,West Germany,
1976,Luge,Men's Singles,East Germany,Men,1,gold,Dettlef GÃ_nther,21
1976,Luge,Men's Singles,West Germany,Men,2,silver,Josef Fendt,28
1976,Luge,Men's Singles,East Germany,Men,3,bronze,Hans Rinn,22
1976,Luge,Men's Doubles,East Germany,Men,1,gold,East Germany-1,
1976,Luge,Men's Doubles,West Germany,Men,2,silver,West Germany-1,
1976,Luge,Men's Doubles,Austria,Men,3,bronze,Austria-1,
1976,Luge,Women's Singles,East Germany,Women,1,gold,Margit Schumann,23
1976,Luge,Women's Singles,East Germany,Women,2,silver,Ute RÃ_hrold,21
1976,Luge,Women's Singles,West Germany,Women,3,bronze,Elisabeth Demleitner,23
1976,Nordic Combined,Men's Individual,East Germany,Men,1,gold,Ulrich Wehling,23
1976,Nordic Combined,Men's Individual,West Germany,Men,2,silver,Urban Hettich,22
1976,Nordic Combined,Men's Individual,East Germany,Men,3,bronze,Konrad Winkler,20
1976,Ski Jumping,"Men's Normal Hill, Individual",East Germany,Men,1,gold,Hans-Georg Aschenbach,24
1976,Ski Jumping,"Men's Normal Hill, Individual",East Germany,Men,2,silver,Jochen Danneberg,22
1976,Ski Jumping,"Men's Normal Hill, Individual",Austria,Men,3,bronze,Karl Schnabl,21
1976,Ski Jumping,"Men's Large Hill, Individual",Austria,Men,1,gold,Karl Schnabl,21
1976,Ski Jumping,"Men's Large Hill, Individual",Austria,Men,2,silver,Toni Innauer,17
1976,Ski Jumping,"Men's Large Hill, Individual",East Germany,Men,3,bronze,Henry GlaÃŸ,22
1976,Speedskating,Men's 500 Meters,Soviet Union,Men,1,gold,Yevgeny Kulikov,25
1976,Speedskating,Men's 500 Meters,Soviet Union,Men,2,silver,Valery Muratov,29
1976,Speedskating,Men's 500 Meters,United States,Men,3,bronze,Dan Immerfall,20
1976,Speedskating,"Men's 1,000 Meters",United States,Men,1,gold,Peter Mueller,21
1976,Speedskating,"Men's 1,000 Meters",Norway,Men,2,silver,JÃ¸rn Didriksen,22
1976,Speedskating,"Men's 1,000 Meters",Soviet Union,Men,3,bronze,Valery Muratov,29
1976,Speedskating,"Men's 1,500 Meters",Norway,Men,1,gold,Jan Egil Storholt,26
1976,Speedskating,"Men's 1,500 Meters",Soviet Union,Men,2,silver,Yury Kondakov,24
1976,Speedskating,"Men's 1,500 Meters",Netherlands,Men,3,bronze,Hans van Helden,27
1976,Speedskating,"Men's 5,000 Meters",Norway,Men,1,gold,Sten Stensen,28
1976,Speedskating,"Men's 5,000 Meters",Netherlands,Men,2,silver,Piet Kleine,24
1976,Speedskating,"Men's 5,000 Meters",Netherlands,Men,3,bronze,Hans van Helden,27
1976,Speedskating,"Men's 10,000 Meters",Netherlands,Men,1,gold,Piet Kleine,24
1976,Speedskating,"Men's 10,000 Meters",Norway,Men,2,silver,Sten Stensen,28
1976,Speedskating,"Men's 10,000 Meters",Netherlands,Men,3,bronze,Hans van Helden,27
1976,Speedskating,Women's 500 Meters,United States,Women,1,gold,Sheila Young,25
1976,Speedskating,Women's 500 Meters,Canada,Women,2,silver,Cathy Priestner,19
1976,Speedskating,Women's 500 Meters,Soviet Union,Women,3,bronze,Tatyana Averina-Barabash,25
1976,Speedskating,"Women's 1,000 Meters",Soviet Union,Women,1,gold,Tatyana Averina-Barabash,25
1976,Speedskating,"Women's 1,000 Meters",United States,Women,2,silver,Leah Poulos-Mueller,24
1976,Speedskating,"Women's 1,000 Meters",United States,Women,3,bronze,Sheila Young,25
1976,Speedskating,"Women's 1,500 Meters",Soviet Union,Women,1,gold,Galina Stepanskaya,27
1976,Speedskating,"Women's 1,500 Meters",United States,Women,2,silver,Sheila Young,25
1976,Speedskating,"Women's 1,500 Meters",Soviet Union,Women,3,bronze,Tatyana Averina-Barabash,25
1976,Speedskating,"Women's 3,000 Meters",Soviet Union,Women,1,gold,Tatyana Averina-Barabash,25
1976,Speedskating,"Women's 3,000 Meters",East Germany,Women,2,silver,Andrea Ehrig-SchÃ¶ne-Mitscherlich,15
1976,Speedskating,"Women's 3,000 Meters",Norway,Women,3,bronze,Lisbeth Korsmo-Berg,28
1980,Alpine Skiing,Men's Downhill,Austria,Men,1,gold,Leonhard Stock,21
1980,Alpine Skiing,Men's Downhill,Austria,Men,2,silver,Peter Wirnsberger,21
1980,Alpine Skiing,Men's Downhill,Canada,Men,3,bronze,Steve Podborski,22
1980,Alpine Skiing,Men's Giant Slalom,Sweden,Men,1,gold,Ingemar Stenmark,23
1980,Alpine Skiing,Men's Giant Slalom,Liechtenstein,Men,2,silver,Andi Wenzel,21
1980,Alpine Skiing,Men's Giant Slalom,Austria,Men,3,bronze,Hans Enn,21
1980,Alpine Skiing,Men's Slalom,Sweden,Men,1,gold,Ingemar Stenmark,23
1980,Alpine Skiing,Men's Slalom,United States,Men,2,silver,Phil Mahre,22
1980,Alpine Skiing,Men's Slalom,Switzerland,Men,3,bronze,Jacques LÃ_thy,20
1980,Alpine Skiing,Women's Downhill,Austria,Women,1,gold,Annemarie Moser-PrÃ¶ll,26
1980,Alpine Skiing,Women's Downhill,Liechtenstein,Women,2,silver,Hanni Wenzel,23
1980,Alpine Skiing,Women's Downhill,Switzerland,Women,3,bronze,Marie-Theres Nadig,25
1980,Alpine Skiing,Women's Giant Slalom,Liechtenstein,Women,1,gold,Hanni Wenzel,23
1980,Alpine Skiing,Women's Giant Slalom,West Germany,Women,2,silver,Irene Epple,22
1980,Alpine Skiing,Women's Giant Slalom,France,Women,3,bronze,Perrine Pelen,19
1980,Alpine Skiing,Women's Slalom,Liechtenstein,Women,1,gold,Hanni Wenzel,23
1980,Alpine Skiing,Women's Slalom,West Germany,Women,2,silver,Christa Kinshofer-GÃ_thlein,19
1980,Alpine Skiing,Women's Slalom,Switzerland,Women,3,bronze,Erika Hess,17
1980,Biathlon,Men's 10-Kilometer Sprint,East Germany,Men,1,gold,Frank Ullrich,22
1980,Biathlon,Men's 10-Kilometer Sprint,Soviet Union,Men,2,silver,Vladimir Alikin,22
1980,Biathlon,Men's 10-Kilometer Sprint,Soviet Union,Men,3,bronze,Anatoly Alyabyev,28
1980,Biathlon,Men's 20 Kilometers,Soviet Union,Men,1,gold,Anatoly Alyabyev,28
1980,Biathlon,Men's 20 Kilometers,East Germany,Men,2,silver,Frank Ullrich,22
1980,Biathlon,Men's 20 Kilometers,East Germany,Men,3,bronze,Eberhard RÃ¶sch,25
1980,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,Soviet Union,Men,1,gold,Soviet Union,
1980,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,East Germany,Men,2,silver,East Germany,
1980,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,West Germany,Men,3,bronze,West Germany,
1980,Bobsled,Men's Two,Switzerland,Men,1,gold,Switzerland-2,
1980,Bobsled,Men's Two,East Germany,Men,2,silver,East Germany-2,
1980,Bobsled,Men's Two,East Germany,Men,3,bronze,East Germany-1,
1980,Bobsled,Men's Four,East Germany,Men,1,gold,East Germany-1,
1980,Bobsled,Men's Four,Switzerland,Men,2,silver,Switzerland-1,
1980,Bobsled,Men's Four,East Germany,Men,3,bronze,East Germany-2,
1980,Cross-Country Skiing,Men's 15 Kilometers,Sweden,Men,1,gold,Thomas Wassberg,23
1980,Cross-Country Skiing,Men's 15 Kilometers,Finland,Men,2,silver,Juha Mieto,30
1980,Cross-Country Skiing,Men's 15 Kilometers,Norway,Men,3,bronze,Ove Aunli,23
1980,Cross-Country Skiing,Men's 30 Kilometers,Soviet Union,Men,1,gold,Nikolay Zimyatov,24
1980,Cross-Country Skiing,Men's 30 Kilometers,Soviet Union,Men,2,silver,Vasily Rochev,28
1980,Cross-Country Skiing,Men's 30 Kilometers,Bulgaria,Men,3,bronze,Ivan Lebanov,22
1980,Cross-Country Skiing,Men's 50 Kilometers,Soviet Union,Men,1,gold,Nikolay Zimyatov,24
1980,Cross-Country Skiing,Men's 50 Kilometers,Finland,Men,2,silver,Juha Mieto,30
1980,Cross-Country Skiing,Men's 50 Kilometers,Soviet Union,Men,3,bronze,Aleksandr Zavyalov,24
1980,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Soviet Union,Men,1,gold,Soviet Union,
1980,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Norway,Men,2,silver,Norway,
1980,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Finland,Men,3,bronze,Finland,
1980,Cross-Country Skiing,Women's 5 Kilometers,Soviet Union,Women,1,gold,Raisa Smetanina,27
1980,Cross-Country Skiing,Women's 5 Kilometers,Finland,Women,2,silver,Hilkka Riihivuori-Kuntola,27
1980,Cross-Country Skiing,Women's 5 Kilometers,Czechoslovakia,Women,3,bronze,KvÄ›ta JeriovÃ¡,23
1980,Cross-Country Skiing,Women's 10 Kilometers,East Germany,Women,1,gold,Barbara Petzold,24
1980,Cross-Country Skiing,Women's 10 Kilometers,Finland,Women,2,silver,Hilkka Riihivuori-Kuntola,27
1980,Cross-Country Skiing,Women's 10 Kilometers,Finland,Women,3,bronze,Helena Kivioja-Takalo,32
1980,Cross-Country Skiing,Women's 4 Ã— 5-Kilometer Relay,East Germany,Women,1,gold,East Germany,
1980,Cross-Country Skiing,Women's 4 Ã— 5-Kilometer Relay,Soviet Union,Women,2,silver,Soviet Union,
1980,Cross-Country Skiing,Women's 4 Ã— 5-Kilometer Relay,Norway,Women,3,bronze,Norway,
1980,Figure Skating,Men's Singles,Britain,Men,1,gold,Robin Cousins,22
1980,Figure Skating,Men's Singles,East Germany,Men,2,silver,Jan Hoffmann,24
1980,Figure Skating,Men's Singles,United States,Men,3,bronze,Charlie Tickner,26
1980,Figure Skating,Mixed Pairs,Soviet Union,Mixed,1,gold,Soviet Union-1,
1980,Figure Skating,Mixed Pairs,Soviet Union,Mixed,2,silver,Soviet Union-2,
1980,Figure Skating,Mixed Pairs,East Germany,Mixed,3,bronze,East Germany-1,
1980,Figure Skating,Mixed Ice Dancing,Soviet Union,Mixed,1,gold,Soviet Union-1,
1980,Figure Skating,Mixed Ice Dancing,Hungary,Mixed,2,silver,Hungary,
1980,Figure Skating,Mixed Ice Dancing,Soviet Union,Mixed,3,bronze,Soviet Union-2,
1980,Figure Skating,Women's Singles,East Germany,Women,1,gold,Anett PÃ¶tzsch,19
1980,Figure Skating,Women's Singles,United States,Women,2,silver,Linda Fratianne,19
1980,Figure Skating,Women's Singles,West Germany,Women,3,bronze,Dagmar Lurz,21
1980,Ice Hockey,Men's Ice Hockey,United States,Men,1,gold,United States,
1980,Ice Hockey,Men's Ice Hockey,Soviet Union,Men,2,silver,Soviet Union,
1980,Ice Hockey,Men's Ice Hockey,Sweden,Men,3,bronze,Sweden,
1980,Luge,Men's Singles,East Germany,Men,1,gold,Bernhard Glass,22
1980,Luge,Men's Singles,Italy,Men,2,silver,Paul Hildgartner,27
1980,Luge,Men's Singles,West Germany,Men,3,bronze,Anton Winkler,25
1980,Luge,Men's Doubles,East Germany,Men,1,gold,East Germany-1,
1980,Luge,Men's Doubles,Italy,Men,2,silver,Italy-1,
1980,Luge,Men's Doubles,Austria,Men,3,bronze,Austria-1,
1980,Luge,Women's Singles,Soviet Union,Women,1,gold,Vera ZozuÄ_a,24
1980,Luge,Women's Singles,East Germany,Women,2,silver,Melitta Sollmann,21
1980,Luge,Women's Singles,Soviet Union,Women,3,bronze,IngrÄ«da Amantova,19
1980,Nordic Combined,Men's Individual,East Germany,Men,1,gold,Ulrich Wehling,27
1980,Nordic Combined,Men's Individual,Finland,Men,2,silver,Jouko Karjalainen,23
1980,Nordic Combined,Men's Individual,East Germany,Men,3,bronze,Konrad Winkler,24
1980,Ski Jumping,"Men's Normal Hill, Individual",Austria,Men,1,gold,Toni Innauer,21
1980,Ski Jumping,"Men's Normal Hill, Individual",East Germany,Men,2,silver,Manfred Deckert,18
1980,Ski Jumping,"Men's Normal Hill, Individual",Japan,Men,2,silver,Hirokazu Yagi,20
1980,Ski Jumping,"Men's Large Hill, Individual",Finland,Men,1,gold,Jouko TÃ¶rmÃ_nen,25
1980,Ski Jumping,"Men's Large Hill, Individual",Austria,Men,2,silver,Hubert Neuper,19
1980,Ski Jumping,"Men's Large Hill, Individual",Finland,Men,3,bronze,Jari Puikkonen,20
1980,Speedskating,Men's 500 Meters,United States,Men,1,gold,Eric Heiden,21
1980,Speedskating,Men's 500 Meters,Soviet Union,Men,2,silver,Yevgeny Kulikov,29
1980,Speedskating,Men's 500 Meters,Netherlands,Men,3,bronze,Lieuwe de Boer,28
1980,Speedskating,"Men's 1,000 Meters",United States,Men,1,gold,Eric Heiden,21
1980,Speedskating,"Men's 1,000 Meters",Canada,Men,2,silver,GaÃ©tan Boucher,21
1980,Speedskating,"Men's 1,000 Meters",Soviet Union,Men,3,bronze,Vladimir Lobanov,26
1980,Speedskating,"Men's 1,000 Meters",Norway,Men,3,bronze,Frode RÃ¸nning,20
1980,Speedskating,"Men's 1,500 Meters",United States,Men,1,gold,Eric Heiden,21
1980,Speedskating,"Men's 1,500 Meters",Norway,Men,2,silver,Kay Arne Stenshjemmet,26
1980,Speedskating,"Men's 1,500 Meters",Norway,Men,3,bronze,Terje Andersen,27
1980,Speedskating,"Men's 5,000 Meters",United States,Men,1,gold,Eric Heiden,21
1980,Speedskating,"Men's 5,000 Meters",Norway,Men,2,silver,Kay Arne Stenshjemmet,26
1980,Speedskating,"Men's 5,000 Meters",Norway,Men,3,bronze,Tom Erik Oxholm,20
1980,Speedskating,"Men's 10,000 Meters",United States,Men,1,gold,Eric Heiden,21
1980,Speedskating,"Men's 10,000 Meters",Netherlands,Men,2,silver,Piet Kleine,28
1980,Speedskating,"Men's 10,000 Meters",Norway,Men,3,bronze,Tom Erik Oxholm,20
1980,Speedskating,Women's 500 Meters,East Germany,Women,1,gold,Karin Enke-Kania,18
1980,Speedskating,Women's 500 Meters,United States,Women,2,silver,Leah Poulos-Mueller,28
1980,Speedskating,Women's 500 Meters,Soviet Union,Women,3,bronze,Nataliya Petrusyova,24
1980,Speedskating,"Women's 1,000 Meters",Soviet Union,Women,1,gold,Nataliya Petrusyova,24
1980,Speedskating,"Women's 1,000 Meters",United States,Women,2,silver,Leah Poulos-Mueller,28
1980,Speedskating,"Women's 1,000 Meters",East Germany,Women,3,bronze,Sylvia Albrecht,17
1980,Speedskating,"Women's 1,500 Meters",Netherlands,Women,1,gold,Annie Borckink,28
1980,Speedskating,"Women's 1,500 Meters",Netherlands,Women,2,silver,Ria Visser,18
1980,Speedskating,"Women's 1,500 Meters",East Germany,Women,3,bronze,Sabine Becker,20
1980,Speedskating,"Women's 3,000 Meters",Norway,Women,1,gold,BjÃ¸rg Eva Jensen,19
1980,Speedskating,"Women's 3,000 Meters",East Germany,Women,2,silver,Sabine Becker,20
1980,Speedskating,"Women's 3,000 Meters",United States,Women,3,bronze,Beth Heiden,20
1984,Alpine Skiing,Men's Downhill,United States,Men,1,gold,Bill Johnson,23
1984,Alpine Skiing,Men's Downhill,Switzerland,Men,2,silver,Peter MÃ_ller,26
1984,Alpine Skiing,Men's Downhill,Austria,Men,3,bronze,Anton Steiner,25
1984,Alpine Skiing,Men's Giant Slalom,Switzerland,Men,1,gold,Max Julen,22
1984,Alpine Skiing,Men's Giant Slalom,Yugoslavia,Men,2,silver,Jure Franko,21
1984,Alpine Skiing,Men's Giant Slalom,Liechtenstein,Men,3,bronze,Andi Wenzel,25
1984,Alpine Skiing,Men's Slalom,United States,Men,1,gold,Phil Mahre,26
1984,Alpine Skiing,Men's Slalom,United States,Men,2,silver,Steve Mahre,26
1984,Alpine Skiing,Men's Slalom,France,Men,3,bronze,Didier Bouvet,22
1984,Alpine Skiing,Women's Downhill,Switzerland,Women,1,gold,Michela Figini,17
1984,Alpine Skiing,Women's Downhill,Switzerland,Women,2,silver,Maria Walliser,20
1984,Alpine Skiing,Women's Downhill,Czechoslovakia,Women,3,bronze,Olga CharvÃ¡tovÃ¡,21
1984,Alpine Skiing,Women's Giant Slalom,United States,Women,1,gold,Debbie Armstrong,20
1984,Alpine Skiing,Women's Giant Slalom,United States,Women,2,silver,Christin Cooper,24
1984,Alpine Skiing,Women's Giant Slalom,France,Women,3,bronze,Perrine Pelen,23
1984,Alpine Skiing,Women's Slalom,Italy,Women,1,gold,Paola Magoni-Sforza,19
1984,Alpine Skiing,Women's Slalom,France,Women,2,silver,Perrine Pelen,23
1984,Alpine Skiing,Women's Slalom,Liechtenstein,Women,3,bronze,Ursula Konzett,24
1984,Biathlon,Men's 10-Kilometer Sprint,Norway,Men,1,gold,Eirik Kvalfoss,24
1984,Biathlon,Men's 10-Kilometer Sprint,West Germany,Men,2,silver,Peter Angerer,24
1984,Biathlon,Men's 10-Kilometer Sprint,East Germany,Men,3,bronze,Matthias Jacob,23
1984,Biathlon,Men's 20 Kilometers,West Germany,Men,1,gold,Peter Angerer,24
1984,Biathlon,Men's 20 Kilometers,East Germany,Men,2,silver,Frank-Peter Roetsch,19
1984,Biathlon,Men's 20 Kilometers,Norway,Men,3,bronze,Eirik Kvalfoss,24
1984,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,Soviet Union,Men,1,gold,Soviet Union,
1984,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,Norway,Men,2,silver,Norway,
1984,Biathlon,Men's 4 Ã— 7.5-Kilometer Relay,West Germany,Men,3,bronze,West Germany,
1984,Bobsled,Men's Two,East Germany,Men,1,gold,East Germany-2,
1984,Bobsled,Men's Two,East Germany,Men,2,silver,East Germany-1,
1984,Bobsled,Men's Two,Soviet Union,Men,3,bronze,Soviet Union-2,
1984,Bobsled,Men's Four,East Germany,Men,1,gold,East Germany-1,
1984,Bobsled,Men's Four,East Germany,Men,2,silver,East Germany-2,
1984,Bobsled,Men's Four,Switzerland,Men,3,bronze,Switzerland-1,
1984,Cross-Country Skiing,Men's 15 Kilometers,Sweden,Men,1,gold,Gunde Svan,22
1984,Cross-Country Skiing,Men's 15 Kilometers,Finland,Men,2,silver,Aki Karvonen,26
1984,Cross-Country Skiing,Men's 15 Kilometers,Finland,Men,3,bronze,Harri Kirvesniemi,25
1984,Cross-Country Skiing,Men's 30 Kilometers,Soviet Union,Men,1,gold,Nikolay Zimyatov,28
1984,Cross-Country Skiing,Men's 30 Kilometers,Soviet Union,Men,2,silver,Aleksandr Zavyalov,28
1984,Cross-Country Skiing,Men's 30 Kilometers,Sweden,Men,3,bronze,Gunde Svan,22
1984,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,1,gold,Thomas Wassberg,27
